frequency,phase
1.0000000000000,-36.165879102339
1.0019999742508,-39.145449316233
1.0039999485016,-42.107761193373
1.0060000419617,-45.052603823852
1.0080000162125,-47.979764380442
1.0099999904633,-50.889065199892
1.0119999647141,-53.780318658239
1.0140000581741,-56.653377837805
1.0160000324249,-59.508093261847
1.0180000066757,-62.344348472201
1.0199999809265,-65.162033227276
1.0219999551773,-67.961072553647
1.0240000486374,-70.741408295766
1.0260000228882,-73.502997336222
1.0279999971390,-76.245832523983
1.0299999713898,-78.969930666488
1.0319999456406,-81.675347115438
1.0340000391006,-84.362111784369
1.0360000133514,-87.030386766236
1.0379999876022,-89.680226706553
1.0399999618530,-92.311878189097
1.0420000553131,-94.925497954865
1.0440000295639,-97.521290891683
1.0460000038147,-100.09953753995
1.0479999780655,-102.66051538343
1.0499999523163,-105.20458516311
1.0520000457764,-107.73204877687
1.0540000200272,-110.24333854739
1.0559999942780,-112.73884947015
1.0579999685287,-115.21904896579
1.0599999427795,-117.68437727676
1.0620000362396,-120.13533783709
1.0640000104904,-122.57249818293
1.0659999847412,-124.99639528915
1.0679999589920,-127.40754619016
1.0700000524521,-129.80661120367
1.0720000267029,-132.19411769900
1.0740000009537,-134.57076489480
1.0759999752045,-136.93709582076
1.0779999494553,-139.29378605069
1.0800000429153,-141.64144294269
1.0820000171661,-143.98067242641
1.0839999914169,-146.31215994501
1.0859999656677,-148.63647573715
1.0880000591278,-150.95421612070
1.0900000333786,-153.26605722930
1.0920000076294,-155.57250496473
1.0939999818802,-157.87411235371
1.0959999561310,-160.17144654183
1.0980000495911,-162.46499672493
1.1000000238419,-164.75528315203
1.1019999980927,-167.04269871217
1.1039999723434,-169.32772514850
1.1059999465942,-171.61074320586
1.1080000400543,-173.89212233110
1.1100000143051,-176.17214846558
1.1119999885559,-178.45120500785
1.1139999628067,179.27054441742
1.1160000562668,176.99285398862
1.1180000305176,174.71551887396
1.1200000047684,172.43836069681
1.1219999790192,170.16128555407
1.1239999532700,167.88418134567
1.1260000467300,165.60705069609
1.1280000209808,163.32983843601
1.1299999952316,161.05248975404
1.1319999694824,158.77508689464
1.1339999437332,156.49773831196
1.1360000371933,154.22045845226
1.1380000114441,151.94336661747
1.1399999856949,149.66663397062
1.1419999599457,147.39035006878
1.1440000534058,145.11477623522
1.1460000276566,142.83999661605
1.1480000019073,140.56631998069
1.1499999761581,138.29389129561
1.1519999504089,136.02294976751
1.1540000438690,133.75377931634
1.1560000181198,131.48660990942
1.1579999923706,129.22167772388
1.1599999666214,126.95927204767
1.1619999408722,124.69965592329
1.1640000343323,122.44307177174
1.1660000085831,120.18984308566
1.1679999828339,117.94019901475
1.1699999570847,115.69440420585
1.1720000505447,113.45276516574
1.1740000247955,111.21552323330
1.1759999990463,108.98295302477
1.1779999732971,106.75527207916
1.1799999475479,104.53278303290
1.1820000410080,102.31567685482
1.1840000152588,100.10417188440
1.1859999895096,97.898539498056
1.1879999637604,95.698917463587
1.1900000572205,93.505552996873
1.1920000314713,91.318635712556
1.1940000057220,89.138329996669
1.1959999799728,86.964827174468
1.1979999542236,84.798181911646
1.2000000476837,82.638612964552
1.2020000219345,80.486228423275
1.2039999961853,78.341167106469
1.2059999704361,76.203453546482
1.2079999446869,74.073254629108
1.2100000381470,71.950569195317
1.2120000123978,69.835477365485
1.2139999866486,67.728063339957
1.2159999608994,65.628326703112
1.2180000543594,63.536350498533
1.2200000286102,61.452077586620
1.2220000028610,59.375562029656
1.2239999771118,57.306807458576
1.2259999513626,55.245757224066
1.2280000448227,53.192465259162
1.2300000190735,51.146908209571
1.2319999933243,49.109050817764
1.2339999675751,47.078814900891
1.2359999418259,45.056287272758
1.2380000352859,43.041327042056
1.2400000095367,41.033988840281
1.2419999837875,39.034248931761
1.2439999580383,37.042045805766
1.2460000514984,35.057437644330
1.2480000257492,33.080318554661
1.2500000000000,31.110820633144
1.2519999742508,29.148804751073
1.2539999485016,27.194444744859
1.2560000419617,25.247620137696
1.2580000162125,23.308475020718
1.2599999904633,21.377033602422
1.2619999647141,19.453405330166
1.2640000581741,17.537593245931
1.2660000324249,15.629729968727
1.2680000066757,13.729954159832
1.2699999809265,11.838346939619
1.2719999551773,9.9550455713042
1.2740000486374,8.0802677938080
1.2760000228882,6.2141236078571
1.2779999971390,4.3567762316406
1.2799999713898,2.5085271330203
1.2819999456406,0.66948510897633
1.2840000391006,-1.1600493305665
1.2860000133514,-2.9799122405732
1.2879999876022,-4.7898028529230
1.2899999618530,-6.5894487977369
1.2920000553131,-8.3786031405059
