frequency,phase
1.0000000000000,-36.747694196394
1.0019999742508,-39.731169751081
1.0039999485016,-42.696600010733
1.0060000419617,-45.643735408100
1.0080000162125,-48.572329816452
1.0099999904633,-51.482156914270
1.0119999647141,-54.372987045394
1.0140000581741,-57.244637187906
1.0160000324249,-60.096922693750
1.0180000066757,-62.929674631923
1.0199999809265,-65.742750539597
1.0219999551773,-68.536028674459
1.0240000486374,-71.309415032950
1.0260000228882,-74.062842587485
1.0279999971390,-76.796249802924
1.0299999713898,-79.509638124982
1.0319999456406,-82.202993540386
1.0340000391006,-84.876397772201
1.0360000133514,-87.529898683665
1.0379999876022,-90.163626520099
1.0399999618530,-92.777730853094
1.0420000553131,-95.372369592039
1.0440000295639,-97.947808773477
1.0460000038147,-100.50426675288
1.0479999780655,-103.04204405530
1.0499999523163,-105.56148189559
1.0520000457764,-108.06297787791
1.0540000200272,-110.54696088308
1.0559999942780,-113.01381414983
1.0579999685287,-115.46407425797
1.0599999427795,-117.89827204386
1.0620000362396,-120.31695191048
1.0640000104904,-122.72066018978
1.0659999847412,-125.11010401908
1.0679999589920,-127.48586369481
1.0700000524521,-129.84865618469
1.0720000267029,-132.19913074748
1.0740000009537,-134.53798852239
1.0759999752045,-136.86599322057
1.0779999494553,-139.18387412223
1.0800000429153,-141.49234073369
1.0820000171661,-143.79214777228
1.0839999914169,-146.08404331951
1.0859999656677,-148.36877081019
1.0880000591278,-150.64703439909
1.0900000333786,-152.91954859486
1.0920000076294,-155.18703434283
1.0939999818802,-157.45016182869
1.0959999561310,-159.70956096544
1.0980000495911,-161.96584607108
1.1000000238419,-164.21963100564
1.1019999980927,-166.47149075169
1.1039999723434,-168.72192855559
1.1059999465942,-170.97143775821
1.1080000400543,-173.22048247962
1.1100000143051,-175.46944487878
1.1119999885559,-177.71877657391
1.1139999628067,-179.96872274200
1.1160000562668,177.78036109763
1.1180000305176,175.52829747135
1.1200000047684,173.27478567365
1.1219999790192,171.01968964375
1.1239999532700,168.76288529155
1.1260000467300,166.50423843923
1.1280000209808,164.24374689644
1.1299999952316,161.98132795568
1.1319999694824,159.71700984634
1.1339999437332,157.45083731798
1.1360000371933,155.18282931314
1.1380000114441,152.91317314350
1.1399999856949,150.64187470514
1.1419999599457,148.36917108397
1.1440000534058,146.09518195431
1.1460000276566,143.82015331524
1.1480000019073,141.54422716207
1.1499999761581,139.26761574725
1.1519999504089,136.99056553281
1.1540000438690,134.71335453684
1.1560000181198,132.43624954885
1.1579999923706,130.15949005802
1.1599999666214,127.88337123883
1.1619999408722,125.60815546433
1.1640000343323,123.33411091161
1.1660000085831,121.06159584921
1.1679999828339,118.79082979985
1.1699999570847,116.52214039331
1.1720000505447,114.25580216069
1.1740000247955,111.99216973866
1.1759999990463,109.73140613354
1.1779999732971,107.47391915327
1.1799999475479,105.21990119570
1.1820000410080,102.96965544776
1.1840000152588,100.72347857214
1.1859999895096,98.481564350191
1.1879999637604,96.244213061689
1.1900000572205,94.011670012041
1.1920000314713,91.784126635956
1.1940000057220,89.561828993158
1.1959999799728,87.344995624865
1.1979999542236,85.133872100652
1.2000000476837,82.928622090738
1.2020000219345,80.729437557789
1.2039999961853,78.536483908779
1.2059999704361,76.349948325374
1.2079999446869,74.169999192402
1.2100000381470,71.996767099145
1.2120000123978,69.830423841473
1.2139999866486,67.671072704337
1.2159999608994,65.518879847792
1.2180000543594,63.373926889341
1.2200000286102,61.236379861829
1.2220000028610,59.106290098202
1.2239999771118,56.983817504214
1.2259999513626,54.869030734730
1.2280000448227,52.761998661623
1.2300000190735,50.662863437804
1.2319999933243,48.571680483115
1.2339999675751,46.488578282432
1.2359999418259,44.413647732135
1.2380000352859,42.346917908901
1.2400000095367,40.288542439194
1.2419999837875,38.238612504144
1.2439999580383,36.197204267919
1.2460000514984,34.164460104411
1.2480000257492,32.140458258415
1.2500000000000,30.125305896436
1.2519999742508,28.119141705316
1.2539999485016,26.122130447536
1.2560000419617,24.134380091324
1.2580000162125,22.156029910543
