frequency,refcoef
1.0000000000000,-24.447137601722
1.0019999742508,-24.446343385530
1.0039999485016,-24.448269396865
1.0060000419617,-24.452831984762
1.0080000162125,-24.459948256747
1.0099999904633,-24.469529710090
1.0119999647141,-24.481489782217
1.0140000581741,-24.495735520099
1.0160000324249,-24.512174108936
1.0180000066757,-24.530710463076
1.0199999809265,-24.551246820048
1.0219999551773,-24.573683158924
1.0240000486374,-24.597918456628
1.0260000228882,-24.623849003279
1.0279999971390,-24.651369747003
1.0299999713898,-24.680375618281
1.0319999456406,-24.710757913487
1.0340000391006,-24.742408331640
1.0360000133514,-24.775217191096
1.0379999876022,-24.809074924472
1.0399999618530,-24.843871875196
1.0420000553131,-24.879499718806
1.0440000295639,-24.915848486878
1.0460000038147,-24.952809239606
1.0479999780655,-24.990277790537
1.0499999523163,-25.028148595940
1.0520000457764,-25.066319097867
1.0540000200272,-25.104690555625
1.0559999942780,-25.143168212439
1.0579999685287,-25.181658072913
1.0599999427795,-25.220073509557
1.0620000362396,-25.258331233050
1.0640000104904,-25.296353606389
1.0659999847412,-25.334068035516
1.0679999589920,-25.371409083625
1.0700000524521,-25.408315960030
1.0720000267029,-25.444736199709
1.0740000009537,-25.480624129197
1.0759999752045,-25.515940919517
1.0779999494553,-25.550654115966
1.0800000429153,-25.584741368486
1.0820000171661,-25.618186735290
1.0839999914169,-25.650980011994
1.0859999656677,-25.683121932442
1.0880000591278,-25.714618687562
1.0900000333786,-25.745483150901
1.0920000076294,-25.775737611368
1.0939999818802,-25.805409919306
1.0959999561310,-25.834534116175
1.0980000495911,-25.863150267190
1.1000000238419,-25.891304573393
1.1019999980927,-25.919049178359
1.1039999723434,-25.946439184966
1.1059999465942,-25.973536036112
1.1080000400543,-26.000404041020
1.1100000143051,-26.027111311915
1.1119999885559,-26.053727441374
1.1139999628067,-26.080326217728
1.1160000562668,-26.106981148419
1.1180000305176,-26.133767891083
1.1200000047684,-26.160765273647
1.1219999790192,-26.188047644086
1.1239999532700,-26.215694125004
1.1260000467300,-26.243779121543
1.1280000209808,-26.272380108183
1.1299999952316,-26.301570699021
1.1319999694824,-26.331422930099
1.1339999437332,-26.362007963965
1.1360000371933,-26.393396125896
1.1380000114441,-26.425651541627
1.1399999856949,-26.458840093041
1.1419999599457,-26.493021632442
1.1440000534058,-26.528254667106
1.1460000276566,-26.564594961182
1.1480000019073,-26.602094668698
1.1499999761581,-26.640802534177
1.1519999504089,-26.680764194182
1.1540000438690,-26.722022916441
1.1560000181198,-26.764615987298
1.1579999923706,-26.808581792699
1.1599999666214,-26.853951278610
1.1619999408722,-26.900754838231
1.1640000343323,-26.949017914095
1.1660000085831,-26.998766015678
1.1679999828339,-27.050015863477
1.1699999570847,-27.102788729026
1.1720000505447,-27.157095649594
1.1740000247955,-27.212950618335
1.1759999990463,-27.270363628161
1.1779999732971,-27.329338718024
1.1799999475479,-27.389881185929
1.1820000410080,-27.451994105439
1.1840000152588,-27.515676156739
1.1859999895096,-27.580927682028
1.1879999637604,-27.647741697540
1.1900000572205,-27.716115662299
1.1920000314713,-27.786042396030
1.1940000057220,-27.857512001704
1.1959999799728,-27.930515442137
1.1979999542236,-28.005044571368
1.2000000476837,-28.081086016345
1.2020000219345,-28.158627051753
1.2039999961853,-28.237655596687
1.2059999704361,-28.318159516415
1.2079999446869,-28.400122795644
1.2100000381470,-28.483534475720
1.2120000123978,-28.568378731559
1.2139999866486,-28.654643804908
1.2159999608994,-28.742313376298
1.2180000543594,-28.831376614386
1.2200000286102,-28.921818519181
1.2220000028610,-29.013628268592
1.2239999771118,-29.106794349174
1.2259999513626,-29.201305346236
1.2280000448227,-29.297149152246
1.2300000190735,-29.394318790591
1.2319999933243,-29.492803405056
1.2339999675751,-29.592596560940
1.2359999418259,-29.693690568809
1.2380000352859,-29.796080051296
1.2400000095367,-29.899758080426
1.2419999837875,-30.004721964318
1.2439999580383,-30.110966027674
1.2460000514984,-30.218489915433
1.2480000257492,-30.327288820241
1.2500000000000,-30.437362509779
1.2519999742508,-30.548709436057
1.2539999485016,-30.661329177286
1.2560000419617,-30.775221230568
1.2580000162125,-30.890384910601
1.2599999904633,-31.006819565828
1.2619999647141,-31.124524718295
1.2640000581741,-31.243499786326
1.2660000324249,-31.363742484827
1.2680000066757,-31.485251873873
1.2699999809265,-31.608023405423
1.2719999551773,-31.732053726609
1.2740000486374,-31.857336854059
1.2760000228882,-31.983865051631
1.2779999971390,-32.111630787928
1.2799999713898,-32.240621464375
1.2819999456406,-32.370824762001
1.2840000391006,-32.502224100587
1.2860000133514,-32.634802165049
1.2879999876022,-32.768537595389
1.2899999618530,-32.903405216330
1.2920000553131,-33.039378953417
1.2940000295639,-33.176425611244
1.2960000038147,-33.314514180458
1.2979999780655,-33.453603081317
1.2999999523163,-33.593651588661
1.3020000457764,-33.734614095645
1.3040000200272,-33.876439591240
1.3059999942780,-34.019075301995
1.3079999685287,-34.162462344347
1.3099999427795,-34.306537122202
1.3120000362396,-34.451235507167
1.3140000104904,-34.596485226580
1.3159999847412,-34.742215416118
1.3179999589920,-34.888347169483
1.3200000524521,-35.034799098943
1.3220000267029,-35.181488633849
1.3240000009537,-35.328328561754
1.3259999752045,-35.475231757161
1.3279999494553,-35.622107493540
1.3300000429153,-35.768862317125
1.3320000171661,-35.915404996451
1.3339999914169,-36.061641613587
1.3359999656677,-36.207480656043
1.3380000591278,-36.352831016004
1.3400000333786,-36.497600826147
1.3420000076294,-36.641703133284
1.3439999818802,-36.785053700969
1.3459999561310,-36.927571487200
1.3480000495911,-37.069177865801
1.3500000238419,-37.209802957190
1.3519999980927,-37.349378200520
1.3539999723434,-37.487844919726
1.3559999465942,-37.625147483473
1.3580000400543,-37.761239707088
1.3600000143051,-37.896081248880
1.3619999885559,-38.029639399485
1.3639999628067,-38.161890066612
1.3660000562668,-38.292815691644
1.3680000305176,-38.422405596481
1.3700000047684,-38.550658808514
1.3719999790192,-38.677579658388
1.3739999532700,-38.803178298101
1.3760000467300,-38.927474903056
