frequency,phase
0.60000002384186,-159.78464313682
0.60240000486374,-161.78669490440
0.60479998588562,-163.71970558698
0.60720002651215,-165.56191631708
0.60960000753403,-167.29505060564
0.61199998855591,-168.90447598886
0.61440002918243,-170.37945523769
0.61680001020432,-171.71351389746
0.61919999122620,-172.90486269040
0.62159997224808,-173.95676680693
0.62400001287460,-174.87781753865
0.62639999389648,-175.68185400379
0.62879997491837,-176.38760333581
0.63120001554489,-177.01794813188
0.63359999656677,-177.59876001957
0.63599997758865,-178.15741471181
0.63840001821518,-178.72130168692
0.64079999923706,-179.31619739777
0.64319998025894,-179.96498344176
0.64560002088547,179.31333878134
0.64800000190735,178.50419359440
0.65039998292923,177.59755415723
0.65280002355576,176.58777942132
0.65520000457764,175.47317458218
0.65759998559952,174.25533763884
0.66000002622604,172.93851854528
0.66240000724792,171.52898498830
0.66479998826981,170.03440311593
0.66720002889633,168.46329586832
0.66960000991821,166.82467894243
0.67199999094009,165.12756817707
0.67439997196198,163.38084255635
0.67680001258850,161.59301357167
0.67919999361038,159.77198906264
0.68159997463226,157.92501179602
0.68400001525879,156.05864693318
0.68639999628067,154.17861279589
0.68879997730255,152.28984641008
0.69120001792908,150.39642292498
0.69359999895096,148.50165987140
0.69599997997284,146.60811243933
0.69840002059937,144.71750114061
0.70080000162125,142.83092471053
0.70319998264313,140.94879812204
0.70560002326965,139.07097056149
0.70800000429153,137.19680691734
0.71039998531342,135.32526620804
0.71280002593994,133.45497055766
0.71520000696182,131.58428928039
0.71759998798370,129.71146784356
0.72000002861023,127.83468057822
0.72240000963211,125.95211727373
0.72479999065399,124.06206649784
0.72719997167587,122.16296133477
0.72960001230240,120.25343248350
0.73199999332428,118.33234464034
0.73439997434616,116.39886679278
0.73680001497269,114.45240137874
0.73919999599457,112.49267474429
0.74159997701645,110.51965937430
0.74400001764297,108.53363228832
0.74639999866486,106.53507086598
0.74879997968674,104.52469437059
0.75120002031326,102.50338800772
0.75360000133514,100.47219145588
0.75599998235703,98.432239059776
0.75840002298355,96.384767635207
0.76080000400543,94.330998362034
0.76319998502731,92.272187956962
0.76560002565384,90.209545887227
0.76800000667572,88.144199186473
0.77039998769760,86.077212847906
0.77280002832413,84.009482834109
0.77520000934601,81.941793566918
0.77759999036789,79.874766334022
0.77999997138977,77.808831995996
0.78240001201630,75.744250935526
0.78479999303818,73.681096393257
0.78719997406006,71.619259346370
0.78960001468658,69.558439904000
0.79199999570847,67.498196655658
0.79439997673035,65.437897880611
0.79680001735687,63.376772501285
0.79919999837875,61.313930241737
0.80159997940063,59.248443168108
0.80400002002716,57.179198416162
0.80640000104904,55.105101557825
0.80879998207092,53.025084454363
0.81120002269745,50.937955796876
0.81360000371933,48.842684461662
0.81599998474121,46.738189131418
0.81840002536774,44.623473108712
0.82080000638962,42.497712625371
0.82319998741150,40.360104241213
0.82560002803802,38.209960623508
0.82800000905991,36.046755831991
0.83039999008179,33.870084114526
0.83279997110367,31.679687884107
0.83520001173019,29.475432214110
0.83759999275208,27.257294691062
0.83999997377396,25.025366861622
0.84240001440048,22.779928976968
0.84479999542236,20.521313197192
0.84719997644424,18.249974658582
0.84960001707077,15.966446364321
0.85199999809265,13.671355905626
0.85439997911453,11.365387921761
0.85680001974106,9.0492892979759
0.85920000076294,6.7238515003631
0.86159998178482,4.3898982303274
0.86400002241135,2.0482777165974
0.86640000343323,-0.30014538886065
0.86879998445511,-2.6545030385756
0.87120002508163,-5.0139296015987
0.87360000610352,-7.3775713751156
0.87599998712540,-9.7445896387835
0.87840002775192,-12.114167352758
0.88080000877380,-14.485518926900
0.88319998979568,-16.857883622863
0.88559997081757,-19.230541921469
0.88800001144409,-21.602801779409
0.89039999246597,-23.974020067730
0.89279997348785,-26.343581648847
0.89520001411438,-28.710909596958
0.89759999513626,-31.075474251513
0.89999997615814,-33.436776724173
0.90240001678467,-35.794340416566
0.90479999780655,-38.147751797698
0.90719997882843,-40.496593194931
0.90960001945496,-42.840499117021
0.91200000047684,-45.179115184541
0.91439998149872,-47.512112004447
0.91680002212524,-49.839175360358
0.91920000314713,-52.160017116274
0.92159998416901,-54.474355559936
0.92400002479553,-56.781903453545
0.92640000581741,-59.082393217144
0.92879998683929,-61.375561219160
0.93120002746582,-63.661147847079
0.93360000848770,-65.938878544858
0.93599998950958,-68.208480873624
0.93839997053146,-70.469677857869
0.94080001115799,-72.722199124979
0.94319999217987,-74.965744802905
0.94559997320175,-77.200009920504
0.94800001382828,-79.424703932493
0.95039999485016,-81.639509861692
0.95279997587204,-83.844103523201
0.95520001649857,-86.038151191710
0.95759999752045,-88.221325582974
0.95999997854233,-90.393284781439
0.96240001916885,-92.553680497437
0.96480000019073,-94.702164191222
0.96719998121262,-96.838394624908
0.96960002183914,-98.962023822869
0.97200000286102,-101.07269556491
0.97439998388290,-103.17007621745
0.97680002450943,-105.25382996144
0.97920000553131,-107.32363563046
0.98159998655319,-109.37918299970
0.98400002717972,-111.42014640964
0.98640000820160,-113.44625396749
0.98879998922348,-115.45722943435
0.99119997024536,-117.45280706464
0.99360001087189,-119.43277087906
0.99599999189377,-121.39691469525
0.99839997291565,-123.34501982498
1.0008000135422,-125.27693726872
1.0032000541687,-127.19254751738
1.0055999755859,-129.09173611297
1.0080000162125,-130.97442512130
1.0104000568390,-132.84058130780
1.0127999782562,-134.69019578386
1.0152000188828,-136.52329550800
1.0176000595093,-138.33995981739
1.0199999809265,-140.14029269905
1.0224000215530,-141.92443291075
1.0247999429703,-143.69257641834
1.0271999835968,-145.44494443427
1.0296000242233,-147.18180815672
1.0319999456406,-148.90346610012
1.0343999862671,-150.61028765349
1.0368000268936,-152.30263036564
1.0391999483109,-153.98093028529
1.0415999889374,-155.64562717516
1.0440000295639,-157.29722152873
1.0463999509811,-158.93622074464
1.0487999916077,-160.56317138735
1.0512000322342,-162.17862010263
1.0535999536514,-163.78312919735
1.0559999942780,-165.37729406910
1.0584000349045,-166.96166625428
1.0607999563217,-168.53685824943
1.0631999969482,-170.10341618220
1.0656000375748,-171.66191473205
1.0679999589920,-173.21284609522
1.0703999996185,-174.75672835009
1.0728000402451,-176.29404004894
1.0751999616623,-177.82519071361
1.0776000022888,-179.35060426349
1.0800000429153,179.12943272255
1.0823999643326,177.61459243693
1.0848000049591,176.10464242878
1.0872000455856,174.59943272674
1.0895999670029,173.09879934900
1.0920000076294,171.60267407463
1.0944000482559,170.11105632033
1.0967999696732,168.62393238759
1.0992000102997,167.14138481471
1.1016000509262,165.66355067456
1.1039999723434,164.19052474522
1.1064000129700,162.72249828326
1.1088000535965,161.25970516424
1.1111999750137,159.80230382176
1.1136000156403,158.35052246279
1.1160000562668,156.90459840425
1.1183999776840,155.46472779389
1.1208000183105,154.03112448851
1.1232000589371,152.60394257449
1.1255999803543,151.18329071998
1.1280000209808,149.76934485879
1.1303999423981,148.36218813382
1.1327999830246,146.96179467255
1.1352000236511,145.56815052792
1.1375999450684,144.18121049831
1.1399999856949,142.80090087175
1.1424000263214,141.42700724986
1.1447999477386,140.05933001841
1.1471999883652,138.69763469649
1.1496000289917,137.34167883834
1.1519999504089,135.99102159793
1.1543999910355,134.64544761193
1.1568000316620,133.30450535159
1.1591999530792,131.96783790450
1.1615999937057,130.63500892593
1.1640000343323,129.30569120740
1.1663999557495,127.97945850661
1.1687999963760,126.65590154328
1.1712000370026,125.33477798928
1.1735999584198,124.01565420943
1.1759999990463,122.69830134203
1.1784000396729,121.38242379792
1.1807999610901,120.06777604750
1.1832000017166,118.75424838483
1.1856000423431,117.44162288461
1.1879999637604,116.12978941180
1.1904000043869,114.81866645280
1.1928000450134,113.50819827971
1.1951999664307,112.19838785867
